year,ID
2006,12-212
2008,12-212
2009,12-212
2010,12-212
2011,12-212
2012,12-212
2013,12-212
2014,12-212
2015,12-212
2016,12-212
2017,12-212
2018,12-212
2019,12-212
2020,12-212
2021,12-212
2022,12-212
2023,12-212
1988,12-215
1989,12-215
1990,12-215
1991,12-215
1992,12-215
1994,12-215
1995,12-215
1996,12-215
1997,12-215
1998,12-215
1999,12-215
2000,12-215
2001,12-215
2002,12-215
2003,12-215
2004,12-215
2005,12-215
2006,12-215
2007,12-215
2008,12-215
2009,12-215
2010,12-215
2011,12-215
2012,12-215
2013,12-215
2014,12-215
2015,12-215
2016,12-215
2017,12-215
2018,12-215
2019,12-215
2020,12-215
2021,12-215
2022,12-215
2023,12-215
1984,12-70
1985,12-70
1986,12-70
1987,12-70
1988,12-70
1989,12-70
1990,12-70
1991,12-70
1992,12-70
1993,12-70
1994,12-70
1995,12-70
1996,12-70
1997,12-70
1998,12-70
1999,12-70
2000,12-70
2001,12-70
2002,12-70
2003,12-70
2004,12-70
2005,12-70
2006,12-70
2007,12-70
2008,12-70
2009,12-70
2010,12-70
2011,12-70
2012,12-70
2013,12-70
2014,12-70
2015,12-70
2016,12-70
2017,12-70
2018,12-70
2019,12-70
2020,12-70
2021,12-70
2022,12-70
2023,12-70
1988,121-20
1989,121-20
1990,121-20
1991,121-20
1994,121-20
1995,121-20
1996,121-20
1998,121-20
1999,121-20
2000,121-20
2001,121-20
2002,121-20
2003,121-20
2004,121-20
2005,121-20
2006,121-20
2007,121-20
2008,121-20
2009,121-20
2010,121-20
2011,121-20
2012,121-20
2013,121-20
2014,121-20
2015,121-20
2016,121-20
2017,121-20
2018,121-20
2019,121-20
2020,121-20
2021,121-20
2022,121-20
2023,121-20
1967,122-11
1970,122-11
1971,122-11
1972,122-11
1973,122-11
1974,122-11
1986,122-11
1987,122-11
1988,122-11
1989,122-11
1990,122-11
1991,122-11
1992,122-11
1993,122-11
1994,122-11
1995,122-11
1996,122-11
1997,122-11
1998,122-11
1999,122-11
2000,122-11
2001,122-11
2002,122-11
2003,122-11
2004,122-11
2005,122-11
2006,122-11
2007,122-11
2008,122-11
2009,122-11
2010,122-11
2011,122-11
2012,122-11
2014,122-11
2015,122-11
2016,122-11
2017,122-11
2018,122-11
2019,122-11
2020,122-11
2021,122-11
2022,122-11
2023,122-11
1973,122-17
1974,122-17
1975,122-17
1976,122-17
1977,122-17
1978,122-17
1979,122-17
1980,122-17
1981,122-17
1982,122-17
1983,122-17
1984,122-17
1985,122-17
1986,122-17
1987,122-17
1988,122-17
1989,122-17
1990,122-17
1991,122-17
1992,122-17
1993,122-17
1994,122-17
1995,122-17
1996,122-17
1997,122-17
1998,122-17
1999,122-17
2000,122-17
2007,122-17
2008,122-17
2009,122-17
2011,122-17
2012,122-17
2014,122-17
2015,122-17
2016,122-17
2017,122-17
2018,122-17
2019,122-17
2020,122-17
2021,122-17
2022,122-17
2023,122-17
1989,122-9
1990,122-9
1991,122-9
1995,122-9
1996,122-9
1997,122-9
1998,122-9
1999,122-9
2000,122-9
2001,122-9
2002,122-9
2003,122-9
2004,122-9
2005,122-9
2006,122-9
2007,122-9
2008,122-9
2009,122-9
2010,122-9
2011,122-9
2012,122-9
2013,122-9
2014,122-9
2015,122-9
2016,122-9
2017,122-9
2018,122-9
2019,122-9
2020,122-9
2021,122-9
2022,122-9
2023,122-9
1971,123-29
1973,123-29
1974,123-29
1975,123-29
1976,123-29
1977,123-29
1978,123-29
1979,123-29
1980,123-29
1981,123-29
1982,123-29
1983,123-29
1984,123-29
1985,123-29
1986,123-29
1987,123-29
1988,123-29
1989,123-29
1990,123-29
1991,123-29
1992,123-29
1993,123-29
1986,123-31
1987,123-31
1988,123-31
1989,123-31
1990,123-31
1991,123-31
1992,123-31
1993,123-31
1995,123-31
1996,123-31
1997,123-31
1998,123-31
1999,123-31
2000,123-31
2001,123-31
2002,123-31
2003,123-31
2004,123-31
2005,123-31
2006,123-31
2007,123-31
2008,123-31
2009,123-31
2010,123-31
2011,123-31
2012,123-31
2013,123-31
2014,123-31
2015,123-31
2016,123-31
2017,123-31
2018,123-31
2019,123-31
2020,123-31
2021,123-31
2022,123-31
2023,123-31
1992,124-15
1993,124-15
1995,124-15
1996,124-15
1997,124-15
1999,124-15
2000,124-15
2001,124-15
2003,124-15
2004,124-15
2007,124-15
2008,124-15
2009,124-15
2011,124-15
2012,124-15
2013,124-15
2014,124-15
2015,124-15
2016,124-15
2017,124-15
2018,124-15
2019,124-15
2020,124-15
2021,124-15
2022,124-15
1965,124-2
1967,124-2
1968,124-2
1970,124-2
1971,124-2
1972,124-2
1973,124-2
1975,124-2
1976,124-2
1978,124-2
1980,124-2
1981,124-2
1982,124-2
1983,124-2
1984,124-2
1985,124-2
1986,124-2
1987,124-2
1988,124-2
1989,124-2
1990,124-2
1992,124-2
1993,124-2
1994,124-2
1995,124-2
1996,124-2
1997,124-2
1998,124-2
1999,124-2
2000,124-2
2001,124-2
2002,124-2
2003,124-2
2004,124-2
2005,124-2
2006,124-2
2007,124-2
2008,124-2
2009,124-2
2010,124-2
2011,124-2
2012,124-2
2013,124-2
2015,124-2
2016,124-2
2017,124-2
2018,124-2
2019,124-2
2020,124-2
2021,124-2
2022,124-2
1981,127-11
1982,127-11
1983,127-11
1984,127-11
1985,127-11
1986,127-11
1987,127-11
1988,127-11
1989,127-11
1990,127-11
1991,127-11
1992,127-11
1993,127-11
1994,127-11
1995,127-11
1996,127-11
1997,127-11
1998,127-11
1999,127-11
2000,127-11
2001,127-11
2002,127-11
2003,127-11
2004,127-11
2005,127-11
2006,127-11
2007,127-11
2008,127-11
2009,127-11
2010,127-11
2011,127-11
2012,127-11
2013,127-11
2014,127-11
2015,127-11
