year_key,decimaldate,Qm3_s,d,ID
1994,1994.49634703196,32.883911,1,212-49
1995,1995.43047945206,36.77227,1,212-49
1996,1996.43977686703,39.44046,1,212-49
1997,1997.44360730594,47.75882,1,212-49
1998,1998.47705479452,25.783718,1,212-49
1999,1999.46118721461,37.421387,1,212-49
2000,2000.49225865209,39.002872,1,212-49
2001,2001.44132420091,39.362049,1,212-49
2003,2003.40273972603,30.36812,1,212-49
2004,2004.3526867031,34.659309,1,212-49
2005,2005.44668949772,31.830511,1,212-49
2006,2006.39223744292,33.043743,1,212-49
2007,2007.42796803653,39.861523,1,212-49
2008,2008.48747723133,44.048164,1,212-49
2009,2009.41415525114,39.476269,1,212-49
2010,2010.37762557078,65.898262,1,212-49
2011,2011.47191780822,35.673256,1,212-49
2012,2012.4045992714,34.420345,1,212-49
2013,2013.38881278539,47.754017,1,212-49
2014,2014.42956621005,43.041115,1,212-49
2015,2015.41894977169,29.111597,1,212-49
2016,2016.46345628415,37.34481,1,212-49
2017,2017.43847031963,35.180027,1,212-49
2018,2018.37385844749,25.966616,1,212-49
2019,2019.43356164384,30.911228,1,212-49
2020,2020.43442622951,47.948181,1,212-49
2021,2021.44726027397,56.499039,1,212-49
2022,2022.41917808219,45.520943,1,212-49
2023,2023.39178082192,34.582363,1,212-49
1981,1981.51091508118,51.2350047730859,1,213-2
1982,1982.50429122273,46.9185064585904,1,213-2
1983,1983.44096467529,36.759287663822,1,213-2
1984,1984.40189707296,52.7256669475981,1,213-2
1985,1985.45136796043,57.2346524854423,1,213-2
1986,1986.39155060883,52.247822508305,1,213-2
1987,1987.46406392694,41.0079008861245,1,213-2
1988,1988.43727041591,39.8023152832139,1,213-2
1989,1989.43926750381,41.5435053782588,1,213-2
1990,1990.47967846271,39.0950526165082,1,213-2
1991,1991.46815068493,50.246624,1,213-2
1994,1994.44520547945,27.419586,1,213-2
1995,1995.43093607306,48.578022,1,213-2
1998,1998.47694063927,26.344465,1,213-2
1999,1999.45422374429,27.52796,1,213-2
2000,2000.43158014572,44.872025,1,213-2
2001,2001.43789954338,48.034569,1,213-2
2002,2002.41118721461,33.828274,1,213-2
2003,2003.40262557078,42.961285,1,213-2
2004,2004.35257285975,48.135792,1,213-2
2006,2006.39212328767,45.114052,1,213-2
2007,2007.43002283105,36.42635,1,213-2
2008,2008.47290528233,42.939072,1,213-2
2009,2009.41415525114,38.624218,1,213-2
2011,2011.41095890411,48.88929,1,213-2
2012,2012.4045992714,45.75938,1,213-2
2013,2013.39155251142,54.699543,1,213-2
2014,2014.42762557078,56.111656,1,213-2
2015,2015.41438356164,33.50174,1,213-2
2016,2016.39571948998,22.599337,1,213-2
2017,2017.44109589041,45.835121,1,213-2
2018,2018.37363013699,50.45195,1,213-2
2019,2019.40993150685,40.304333,1,213-2
2020,2020.43442622951,80.064964,1,213-2
2021,2021.44737442922,85.452019,1,213-2
2022,2022.41952054795,62.447147,1,213-2
2023,2023.38618721461,53.088749,1,213-2
1980,1980.42042454083,37.7819880297091,1,213-4
1981,1981.51060372273,47.5673546334682,1,213-4
1982,1982.50965506088,53.494504543031,1,213-4
1983,1983.43997479072,21.9099591430338,1,213-4
1984,1984.40999895644,33.9890093091433,1,213-4
1985,1985.45136796043,61.3938060367016,1,213-4
1986,1986.42568302892,40.8645270451832,1,213-4
1987,1987.42983447489,29.00952227586,1,213-4
1988,1988.43852269277,28.462438776468,1,213-4
1989,1989.43812595129,28.8496764501396,1,213-4
1990,1990.48494672755,30.5479682013869,1,213-4
1991,1991.46788812785,40.3538785840128,1,213-4
1993,1993.50917237443,45.8817201586703,1,213-4
1994,1994.45214421613,26.0447162333587,1,213-4
1997,1997.44337899543,62.139626,1,213-4
1998,1998.47648401826,29.655983,1,213-4
1999,1999.61872146119,36.277142,1,213-4
2000,2000.41290983607,53.610077,1,213-4
2001,2001.43801369863,33.416405,1,213-4
2002,2002.31883561644,36.777958,1,213-4
2003,2003.38607305936,32.958755,1,213-4
2004,2004.35245901639,40.573391,1,213-4
2005,2005.44372146119,38.440296,1,213-4
2006,2006.34828767123,29.462034,1,213-4
2007,2007.42808219178,28.568693,1,213-4
2008,2008.48702185792,35.017887,1,213-4
2009,2009.4151826484,29.114491,1,213-4
