Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
62.14	1	1	2	FALSE	FALSE	Slondalsvatn	41.86	1984	2015		32	1985	2015	1986, 1994, 1997, 1998	27
62.15	1	1	2	FALSE	FALSE	Kinne	511.44	1984	2015		32	1984	2015		32
62.18	1	1	2	FALSE	FALSE	Svartavatn	72.35	1988	2015		28	1988	2015	1989, 1990, 1994, 1998, 1999, 2004, 2009, 2011	20
63.1	1	1	1	FALSE	FALSE	Nese 1908-1942	346	1909	1941		33				
63.2	1	1	1	FALSE	FALSE	Brakestad	224	1935	1971		37				
63.3	1	1	1	FALSE	FALSE	Fosse	261	1935	1971		37				
63.12	1	1	2	FALSE	FALSE	Fjellanger	12.83	1995	2015		21	1995	2015	1997, 1998, 2004, 2006, 2009, 2010	15
64.6	1	1	1	FALSE	FALSE	Solrenningsvatn	53.37	2006	2014	2007	8	2006	2014	2007	8
68.1	1	1	1	FALSE	FALSE	Kløvtveitvatn 1922-1950	4,51	1923	2005		83	1971	2005		35
68.2	1	1	1	FALSE	FALSE	Havelandselv	21	1965	2015	1981, 1982, 1984:1997	35	1998	2015	2005	17
70.8	1	1	1	FALSE	FALSE	Målset	7.71	1988	2015		28	1988	2015	1989	27
71.1	1	1	1	FALSE	FALSE	Skjerping	267.79	1969	2015		47	1988	2015	2006	27
71.5	1	1	1	FALSE	FALSE	Feios	75,2	1973	2006		34	1973	2006	1975, 1977, 2005	31
72.1	1	1	1	FALSE	FALSE	Klevevatn	109	1909	1947	1922:1934, 1943:1945	23				
72.5	1	1	1	FALSE	FALSE	Brekke bru	268.16	1944	2014		71	1997	2014	1998, 2009	16
72.7	1	1	1	FALSE	FALSE	Vassbygdvatn	758.77	1909	1969		61				
72.8	1	1	1	FALSE	FALSE	Aurdalsvatn	397	1953	1975		23				
73.1	1	1	1	FALSE	FALSE	Lo Bru	562.39	1916	1972		57				
