Nr,version,Navn,Areal (km2),Dailydata_Start,Dailydata_Slutt,Dailydata_Utlatt,Dailydata_N,Findata_Start,Findata_Slutt,Findata_Utelatt,Findata_N,RN,HN,Nedlagt.regulert
2.15,1,Breiddalsvatn ndf.,127.62,1918,1943,"",26,,,"",,2,15,R
2.21,1,Visa,245,1981,1990,"",10,1986,1990,"",5,2,21,
2.231,1,Dalsbygdens El. Verk,355,1938,1955,"",18,,,"",,2,231,
2.235,1,Grimsmoen,627.05,1998,2015,"",18,1998,2015,2008,17,2,235,
2.25,1,Lalm,3982.39,1907,1940,"",34,,,"",,2,25,R
2.265,1,Unsetåa,618.36,1962,2015,"1988:1990, 1992, 1993, 2011",48,1999,2015,"2002, 2011",15,2,265,
2.267,1,Mistra Bru,549.86,1962,2015,"1988, 1989, 1992, 1998",50,1999,2015,"",17,2,267,
2.268,1,Akslen,790.9,1962,2015,"",54,1986,2014,"1992, 1994:1998",23,2,268,
2.273,1,Ryfetten 1964-1967,1314,1965,1985,"",21,,,"",,2,273,
2.275,1,Liavatn,211.26,1965,2015,"2001, 2002, 2012",48,1986,2015,"2001, 2002, 2005, 2006, 2012, 2014",25,2,275,
2.276,1,Furusjøen 1964-1966,68.1,1965,1987,"",23,1986,1987,"",2,2,276,
2.279,1,Kråkfoss,432.35,1967,2015,"",49,1967,2015,"1975, 1979, 1980, 1981, 1984, 1997, 1998",42,2,279,
2.28,1,Aulestad,866.25,1930,2015,"",86,1999,2015,"",17,2,28,
2.280,1,Kringlerdal,265.44,1967,2015,2004,48,1986,2015,"1996, 1998, 2002:2004",25,2,280,
2.284,1,Sælatunga,454.83,1967,2015,1974:1978,44,1999,2015,"",17,2,284,
2.287,1,Rotua 1966-1973,56.1,1967,1994,"",28,1967,1993,"1970, 1972",25,2,287,
2.288,1,Harasjøen,52.8,1967,2000,"",34,,,"",,2,288,
2.289,1,Høydalsvatn,78.7,1967,1986,"",20,1986,1986,"",1,2,289,
2.290,1,Brustuen,253.93,1967,2015,"",49,1986,2015,"",30,2,290,
2.291,1,Tora,262.27,1967,2015,"",49,1988,2015,2010,27,2,291,
2.298,1,Russa,145,1969,1980,"",12,,,"",,2,298,
2.300,1,Bøvertjern,76.1,1968,1984,"",17,,,"",,2,300,
2.304,1,Jora,271,1968,1985,"",18,,,"",,2,304,
2.32,1,Atnasjø,463.2,1917,2015,"",99,1986,2015,"1995, 2003",28,2,32,
2.323,1,Fura,42.47,1971,2015,"",45,1971,2015,"1982:1984, 2007",41,2,323,
2.329,1,Hellen bru 1970-1983,81.3,1971,2001,"",31,1971,2001,"1983, 1996",29,2,329,
2.331,1,Kauserud,91.2,1999,2015,"",17,,,"",,2,331,
2.36,1,Øvre Heimdalsvatn,24.91,2000,2015,"2002, 2003, 2005",13,2000,2015,"2002, 2003, 2005",13,2,36,
2.415,1,Espedalsvatn,95.19,1976,2015,2000:2007,32,1986,2015,"1993, 1994, 1996, 2000:2007",19,2,415,
2.439,1,Kvarstadseter,377.09,1984,2015,"1986, 1987, 1994:1997",26,1988,2015,"1989, 1994:1997",23,2,439,
