"ID" "yk" "grunn"
"200268" 1995 "tabell A2"
"200268" 1996 "tabell A2"
"200268" 1997 "tabell A2"
"200268" 1998 "tabell A2"
"200275" 2001 "tabell A2"
"200275" 2002 "tabell A2"
"200275" 2005 "tabell A2"
"200275" 2006 "tabell A2"
"200275" 2012 "tabell A2"
"200275" 2014 "tabell A2"
"200279" 1975 "tabell A2"
"200279" 1979 "tabell A2"
"200279" 1980 "tabell A2"
"200279" 1981 "tabell A2"
"200279" 1984 "tabell A2"
"200279" 1997 "tabell A2"
"200279" 1998 "tabell A2"
"200280" 1996 "tabell A2"
"200280" 1998 "tabell A2"
"200280" 2002 "tabell A2"
"200280" 2003 "tabell A2"
"200280" 2004 "tabell A2"
"200287" 1970 "tabell A2"
"200287" 1972 "tabell A2"
"200291" 2010 "tabell A2"
"200323" 1982 "tabell A2"
"200323" 1983 "tabell A2"
"200323" 1984 "tabell A2"
"200323" 2007 "tabell A2"
"200329" 1983 "tabell A2"
"200329" 1996 "tabell A2"
"200415" 1993 "tabell A2"
"200415" 1994 "tabell A2"
"200415" 1996 "tabell A2"
"200415" 2000 "tabell A2"
"200415" 2001 "tabell A2"
"200415" 2002 "tabell A2"
"200415" 2003 "tabell A2"
"200415" 2004 "tabell A2"
"200415" 2005 "tabell A2"
"200415" 2006 "tabell A2"
"200415" 2007 "tabell A2"
"200439" 1989 "tabell A2"
"200439" 1994 "tabell A2"
"200439" 1995 "tabell A2"
"200439" 1996 "tabell A2"
"200439" 1997 "tabell A2"
"200451" 2003 "tabell A2"
"200451" 2010 "tabell A2"
"200457" 2003 "tabell A2"
"200457" 2004 "tabell A2"
"200457" 2005 "tabell A2"
"200457" 2006 "tabell A2"
"200457" 2012 "tabell A2"
"200463" 1988 "tabell A2"
"200463" 1992 "tabell A2"
"200463" 2013 "tabell A2"
"200464" 1991 "tabell A2"
"200464" 1995 "tabell A2"
"200464" 1996 "tabell A2"
"200465" 2008 "tabell A2"
"200578" 2006 "tabell A2"
"200578" 2007 "tabell A2"
"200578" 2010 "tabell A2"
"200578" 2011 "tabell A2"
"200578" 2012 "tabell A2"
"200578" 2013 "tabell A2"
"200607" 1990 "tabell A2"
"200607" 1996 "tabell A2"
"200607" 1997 "tabell A2"
"200607" 1998 "tabell A2"
"200607" 2012 "tabell A2"
"200614" 1998 "tabell A2"
"200614" 2004 "tabell A2"
"200616" 1988 "tabell A2"
"200616" 1993 "tabell A2"
"200616" 2003 "tabell A2"
"200633" 2010 "tabell A2"
"200633" 2012 "tabell A2"
"201036" 2009 "tabell A2"
"20300002" 2011 "tabell A2"
"20600003" 1978 "tabell A2"
"20600003" 1981 "tabell A2"
"20600003" 1993 "tabell A2"
"20600003" 1995 "tabell A2"
"20600003" 1996 "tabell A2"
"20600003" 2004 "tabell A2"
"20800002" 1986 "tabell A2"
"20800002" 2011 "tabell A2"
"20900003" 2006 "tabell A2"
"2100047" 2009 "tabell A2"
"2100047" 2012 "tabell A2"
"2100047" 2013 "tabell A2"
"21200007" 1986 "tabell A2"
"21200010" 1994 "tabell A2"
"21200010" 1996 "tabell A2"
"21200010" 1998 "tabell A2"
"21200010" 2002 "tabell A2"
"21200010" 2003 "tabell A2"
"21200010" 2010 "tabell A2"
"21200011" 1979 "tabell A2"
"21200011" 1980 "tabell A2"
"21200011" 1981 "tabell A2"
"21200011" 1982 "tabell A2"
"21200011" 1983 "tabell A2"
"21200011" 1984 "tabell A2"
"21200011" 1985 "tabell A2"
"21200049" 2002 "tabell A2"
"21300002" 1993 "tabell A2"
"21300002" 1997 "tabell A2"
"21300002" 2005 "tabell A2"
"21300002" 2010 "tabell A2"
"21300003" 1986 "tabell A2"
"21300004" 1992 "tabell A2"
"2200016" 2007 "tabell A2"
"2200022" 1979 "tabell A2"
"2200022" 1992 "tabell A2"
"22800002" 1988 "tabell A2"
"22800002" 1994 "tabell A2"
"23400004" 1976 "tabell A2"
"23400004" 1977 "tabell A2"
"23400004" 1983 "tabell A2"
"23700001" 1985 "tabell A2"
"23700001" 1986 "tabell A2"
"23700001" 1987 "tabell A2"
"23700001" 1988 "tabell A2"
"23700001" 1990 "tabell A2"
"23700001" 1992 "tabell A2"
"23700001" 1996 "tabell A2"
"23700001" 2007 "tabell A2"
"23700001" 2011 "tabell A2"
"24400002" 2011 "tabell A2"
"24600009" 2005 "tabell A2"
"2500024" 1994 "tabell A2"
"2500024" 1999 "tabell A2"
"2500030" 1997 "tabell A2"
"2600020" 2009 "tabell A2"
"2600020" 2012 "tabell A2"
"2600021" 2012 "tabell A2"
"2600029" 1987 "tabell A2"
"2600064" 2001 "tabell A2"
"2600064" 2003 "tabell A2"
"2600064" 2009 "tabell A2"
"2600064" 2010 "tabell A2"
"2600064" 2011 "tabell A2"
"2700015" 1988 "tabell A2"
"2700015" 1989 "tabell A2"
"2700015" 1992 "tabell A2"
"2700015" 1993 "tabell A2"
"2700015" 1994 "tabell A2"
"2700015" 1995 "tabell A2"
"2700016" 1991 "tabell A2"
"2700016" 1996 "tabell A2"
"2700016" 1997 "tabell A2"
"2700016" 2002 "tabell A2"
"2700016" 2004 "tabell A2"
"2700025" 1992 "tabell A2"
"2700025" 1993 "tabell A2"
"2700025" 2001 "tabell A2"
"2700025" 2002 "tabell A2"
"300022" 1984 "tabell A2"
"300022" 1987 "tabell A2"
"30700014" 1971 "tabell A2"
"30700014" 1972 "tabell A2"
"30700014" 1979 "tabell A2"
"30700014" 1982 "tabell A2"
"30700014" 1984 "tabell A2"
"30700014" 1985 "tabell A2"
"30700014" 1986 "tabell A2"
"30700014" 1987 "tabell A2"
"30700014" 1988 "tabell A2"
"30800001" 2008 "tabell A2"
"31100004" 1997 "tabell A2"
"31100004" 1998 "tabell A2"
"31100004" 2003 "tabell A2"
"31100460" 1995 "tabell A2"
"31100460" 1996 "tabell A2"
"31100460" 2008 "tabell A2"
"31100460" 2014 "tabell A2"
"3300010" 2001 "tabell A2"
"3300010" 2002 "tabell A2"
"3300010" 2003 "tabell A2"
"3300010" 2004 "tabell A2"
"3300010" 2005 "tabell A2"
"3300010" 2009 "tabell A2"
"3500009" 1985 "tabell A2"
"3500009" 1986 "tabell A2"
"3500009" 1987 "tabell A2"
"3500009" 1988 "tabell A2"
"3500009" 1989 "tabell A2"
"3500009" 2010 "tabell A2"
"3600012" 1995 "tabell A2"
"3600012" 1997 "tabell A2"
"3600012" 1998 "tabell A2"
"3600012" 2001 "tabell A2"
"3600012" 2002 "tabell A2"
"3600013" 1986 "tabell A2"
"3600032" 1994 "tabell A2"
"3700027" 2005 "tabell A2"
"3700027" 2006 "tabell A2"
"3700027" 2007 "tabell A2"
"3700027" 2011 "tabell A2"
"3800001" 2002 "tabell A2"
"3900001" 2002 "tabell A2"
"3900001" 2003 "tabell A2"
"3900001" 2010 "tabell A2"
"3900002" 2011 "tabell A2"
"4200002" 2005 "tabell A2"
"4200016" 2001 "tabell A2"
"4200016" 2007 "tabell A2"
"4600009" 1992 "tabell A2"
"4600009" 1995 "tabell A2"
"4600009" 1997 "tabell A2"
"4600009" 2003 "tabell A2"
"4600009" 2004 "tabell A2"
"4600009" 2005 "tabell A2"
"4600009" 2007 "tabell A2"
"4600009" 2011 "tabell A2"
"4800001" 2007 "tabell A2"
"4800004" 1976 "tabell A2"
"4800005" 1978 "tabell A2"
"4800005" 1984 "tabell A2"
